embedding,eps,min_samples,n_clusters,n_noise,noise_fraction,noise_candidate_count,noise_candidate_fraction,noise_mean_feh,noise_mean_galcen_vtot_kms
pca,0.2,5,3,105,0.057127312295973884,24,0.22857142857142856,-0.48300952380952383,196.6896533599355
pca,0.2,8,2,157,0.0854189336235038,25,0.1592356687898089,-0.4341146496815287,201.28062185150475
pca,0.2,12,3,237,0.12894450489662676,25,0.10548523206751055,-0.3526286919831224,208.71799096007794
pca,0.25,5,2,82,0.04461371055495103,24,0.2926829268292683,-0.5864268292682927,185.10509272152137
pca,0.25,8,2,98,0.05331882480957562,24,0.24489795918367346,-0.5344387755102041,190.95201654034406
pca,0.25,12,1,147,0.07997823721436344,25,0.17006802721088435,-0.4624353741496599,201.26803547065134
pca,0.3,5,2,65,0.03536452665941241,24,0.36923076923076925,-0.6984000000000001,176.06268212200655
pca,0.3,8,2,77,0.041893362350380846,24,0.3116883116883117,-0.6207012987012989,184.3441847695616
pca,0.3,12,1,104,0.056583242655059846,25,0.2403846153846154,-0.5332788461538461,191.33073952196386
umap,0.2,5,1,2,0.001088139281828074,1,0.5,-0.507,239.41781520388207
umap,0.2,8,1,2,0.001088139281828074,1,0.5,-0.507,239.41781520388207
umap,0.2,12,1,2,0.001088139281828074,1,0.5,-0.507,239.41781520388207
umap,0.25,5,1,1,0.000544069640914037,0,0.0,-0.415,225.03073823953596
umap,0.25,8,1,1,0.000544069640914037,0,0.0,-0.415,225.03073823953596
umap,0.25,12,1,2,0.001088139281828074,1,0.5,-0.507,239.41781520388207
umap,0.3,5,1,0,0.0,0,,,
umap,0.3,8,1,0,0.0,0,,,
umap,0.3,12,1,0,0.0,0,,,
