source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,absolute_g_mag,feh,tangential_velocity_kms,galcen_vx,galcen_vy,galcen_vz,galcen_vtot,has_astrometric_6d_input,has_galcen_velocity_input,orbit_input_ready
3077457042404665088,,,,,,,1.252923,1.686704280937569,-0.599,111.01579774936911,,,,,False,False,False
3089847099636770560,,,,,,,0.61881924,3.7260768126281487,-2.213,413.70646747833314,,,,,False,False,False
3089944573918027648,,,,,,,0.98452854,1.5680617678260056,-1.472,426.6861088882448,,,,,False,False,False
3089534353001157632,,,,,,,1.041462,0.871324141703834,-1.539,376.1169517856083,,,,,False,False,False
3084095863550902528,,,,,,,0.7284956,2.7744137093995,-1.723,357.80594331790144,,,,,False,False,False
3083736976083264768,,,,,,,0.7034807,3.5901416287102172,-0.583,242.02317493801328,,,,,False,False,False
3089512263986192512,,,,,,,0.7241869,3.5162932136697265,-1.317,182.00727141982713,,,,,False,False,False
3089611597989508224,,,,,,,1.1408968,0.5763504189900424,-0.833,106.91773199721707,,,,,False,False,False
3084599680395408128,,,,,,,1.4542809,-0.9936494160586236,-0.8,233.39930902514337,,,,,False,False,False
3084590884302328704,,,,,,,0.6961956,4.105675472050972,-1.311,178.22526728386543,,,,,False,False,False
3089780884124744832,,,,,,,0.7723322,5.025141004939055,-1.369,233.55985494766577,,,,,False,False,False
3089618091979956992,,,,,,,0.9568348,3.401557750860418,-0.569,178.44715688530255,,,,,False,False,False
3084565217577674368,,,,,,,1.2135992,-1.4997642961381883,-1.679,303.912485613191,,,,,False,False,False
3083753361380495744,,,,,,,1.1461058,1.396180705066989,-0.915,114.30465630354097,,,,,False,False,False
3084867926872687616,,,,,,,0.7957039,5.192801250098601,-1.026,197.4135264999453,,,,,False,False,False
3083483057615799424,,,,,,,0.8043566,4.434458939261894,-0.768,125.46984691485817,,,,,False,False,False
3084618814470882048,,,,,,,1.1711559,2.7299872231075355,-0.951,165.1111465791632,,,,,False,False,False
3084926441506740992,,,,,,,1.0605354,1.6585725398621136,-0.883,211.0733302063489,,,,,False,False,False
3083553117121981312,,,,,,,1.5499325,-2.4386732195933583,-1.116,237.53839609846912,,,,,False,False,False
3084642080312126464,,,,,,,1.5068645,-2.0334487474787295,-1.196,197.8020857182221,,,,,False,False,False
3089545558572418048,,,,,,,1.1009932,-0.4731725700591056,-2.108,223.00802331737148,,,,,False,False,False
3089726600033614976,,,,,,,0.73424435,3.6783047950118934,-0.796,141.12667198580328,,,,,False,False,False
3084491481578346240,,,,,,,1.3136959,0.001726040787414,-0.534,207.96725977413317,,,,,False,False,False
3089857819875340672,,,,,,,0.7660074,3.6638164329105134,-1.107,178.78522177121664,,,,,False,False,False
3083697290586071680,,,,,,,0.87890816,5.467807754270964,-0.684,122.43481290580814,,,,,False,False,False
3084618646970633984,,,,,,,1.1003723,-0.4209198457835654,-0.68,105.88440716427388,,,,,False,False,False
3077610566011025408,,,,,,,1.1750326,-0.1937580093862614,-0.543,100.31645268932128,,,,,False,False,False
